review,review_length,sentiment,purchased,received_for_free,votes_up,votes_funny,date_created,date_updated,author_num_games_owned,author_num_reviews,author_playtime_forever_min,author_playtime_at_review_min
Scared the piss out of me when the dogs jumped out the window,61,1,1,0,0,0,2026-05-06,2026-05-06,10,13,48,48
"Managed to glitch the game (somehow) turning the shield key into a baretta, so got myself locked out of Yawns boss fight. I was also doing a no save run so I cant load in again. Best game ever! .·°՞(˃ ᗜ ˂)՞°·. 
(long time resi fan)",231,1,0,0,0,0,2026-05-06,2026-05-06,0,51,169,49
"Old is Gold :D

first RE series I have ever played on PS1! 
-Background music amazing (never forgot them at all!)
-Challenging (Perfect)
-Puzzles are difficult to those who played the game for the first time.
Finally, thanks to dvs who brought this masterpiece back on steam <333",279,1,1,0,2,0,2026-05-06,2026-05-06,0,89,514,514
The one who started it all. i was like 9-10yo when i first played the OG. Still goated!,87,1,1,0,0,0,2026-05-05,2026-05-05,280,66,641,641
I love this game this is the only game Capcom did amazing with both the original game and remake <3,99,1,0,0,1,0,2026-05-05,2026-05-05,60,11,5,5
the GOAT,8,1,1,0,2,0,2026-05-05,2026-05-05,403,38,364,247
"Now I know what people mean by ""Tank Controls""  

I can get past the controls in an old game like this, but your knife is really bad.  You got to really be confident in your knife skills if you want to save ammo.  It adds a layer of tension I haven't experienced before.",272,1,1,0,1,0,2026-05-04,2026-05-04,0,9,209,209
While the combat and controls have aged pretty poorly this game is a fantastic project for the pre-rendered backgrounds alone.,126,1,1,0,1,0,2026-05-03,2026-05-03,64,37,304,304
"10/10 

even with that ♥♥♥♥♥♥♥♥♥♥♥♥ acting",42,1,1,0,2,1,2026-05-03,2026-05-03,523,5,470,470
"A lot of people are into Resident Evil to associate with some kind of 'big name' fanbase, and you can tell by the number of people posting troll reviews of this game or reccomending it knowing they'll never play it again.

Anyway, I just finished the Chris campaign. Will be playing Jill's posthaste, but more for completion than enjoyment. Playing the original 1996 game, really kind of shows you what Capcom was up to when Resident Evil wasn't a franchise yet and the video game industry itself was still young, and very few rules of game design had been laid down yet. A lot of design choices are clunky or outright bad, map design was kooky as hell, F%CK Hunters and their one hit kill, etc etc etc. And the horror element is obviously second to the puzzle solving. 

Yeah, the raw material that would go on to be remade to perfection is obviously still there, but it's not offering virtually anything the remake doesn't do better. It's historically valuable, but not great on its own terms. I think if we're not beholden to historical purism, we can admit that.

I did enjoy the live-action scenes carried over from the Director's Cut. Cheesy, campy, everything I like. But yeah, play this for your historical context if nothing else, or just be satisfied with the later games.",1288,0,1,0,0,1,2026-05-03,2026-05-03,0,7,1196,814
This is the best souls-like ever!!!,35,1,1,0,1,0,2026-05-03,2026-05-03,0,13,991,991
"while the remake is kino the original game has a very liminal space type of vibe combined with the horrible voice acting at the start of the game and the quaitness from middle to late game , the game feals very wierd and sureal like a dream ( this should have come  with classic rebirth and seamless hd pre installed)

10 out of 10

הרימייק משחק יותר טוב אבל המקורי? אווירת לימינל ספייס טהורה + דיבוב זוועה בהתחלה + שקט מוזר באמצע עד הסוף. פשוט מרגיש סופר וויירד וסוריאליסטי, משהו לא נורמלי כמו חלום",499,1,0,0,0,0,2026-05-03,2026-05-03,487,12,714,714
"Fan of the franchise; never played the originals before. Had a surprising amount of fun. If you're into Horror, or the Survival Horror genre, it's worth checking out at least 1 play through's worth.",198,1,1,0,0,0,2026-05-02,2026-05-02,0,31,489,489
"Modern gamers who've never played a classic Resi will struggle with this. It's as barebone a port - and a game - as it gets. But if, like me, you're an RE veteran who has somehow never got to the end of the OGRE, this is still worth a play, even after 30 years. Just make sure you use more than one save slot. And keep a notebook handy...",338,1,1,0,2,0,2026-05-02,2026-05-02,0,8,655,655
"""This mansion is FILLED with EVIL RESIDENTS,"" -Albert ""Complete Global Saturation"" Wesker

Also wtf Capcom? Enigma DRM when this has a DRM free gog version? For what purpose? Also it tends to crash, so save often or haul ass and hope it doesn't crash if you're doing a saveless run. Thanks for the copy Brandon.",311,1,0,0,0,0,2026-05-01,2026-05-01,819,30,480,254
"Wow, this game is different to the remake. I read that there were differences but I feel like they were severely understated. That said, the remake is definitely the better game and the ""definitive"" version. It has better (and more) story elements, more depth, more puzzles, more areas, etc. etc. 

However, this game still more than holds up and is real fun to play through. It's way less difficult than the remake and thus at times less frustrating, making it the more accessible option. Also, the older graphics definitely just work for games so that's a plus. I would personally buy the remake, but this is still very much a 9/10 - and since the differences are there, I don't think it's a bad idea to play both.",718,1,1,0,0,0,2026-05-01,2026-05-01,175,117,465,465
jim sandwich or something,25,1,0,0,2,1,2026-04-29,2026-04-29,117,26,796,632
"It's 2026. If you don't know about Resident Evil by now, you're too late.",73,1,1,0,0,0,2026-04-29,2026-04-29,0,515,21,21
"I finished this game and ♥♥♥♥♥♥♥♥♥ I love it. I played as Chris not knowing Jill was easier to play as. Sure the controls made me rage at times, but I got used to it.

I know the voice acting sorta sucks but honestly, for a 30 year old game it's considered peak for me. There are certain details that I love when playing this game.

Now for my criticisms... I'd say I disliked the controls and the underground SUCKED and was unforgiving when you played as Chris.

But still 7/10, great game considering it's the first game.

I won't play another RE game in the meantime to focus on my other games in my backlog. But I will replay as Jill in the 2002 version!",658,1,1,0,1,0,2026-04-29,2026-04-29,716,12,1350,1350
"I think this is a very good port. I don't notice any bugs, glitches, or jank. 

The last time I played the non-Director's Cut version of this game was back in 1996 or 97. It's been 30 years since I heard the original, non-Director's Cut soundtrack. I gotta say, the original non-Director's Cut soundtrack is SO much better. The original soundtrack alone makes this port worthy of at least one playthrough. If you've played the Director's Cut countless times over the past few decades, and don't have much (or any) experience with the original non-Director's Cut version of the game, I think you should give this port a go.

Since it's been so many years since I last played OG Resident Evil 1, I forgot how much easier it is compared to the 2002 RE Remake. For example: just 15 minutes or so into OG RE1, I've found several pistol clips (totaling about 45-50 bullets), and you'll regularly see green herbs scattered around the map. The RE Remake, by comparison, is extremely stingy with giving you resources. It's far less common to find ammo and healing supplies around the maps. 

The further you get into this game, the more ammo and healing supplies you'll find. By the time I reached the labs, I was swimming in pistol, shotgun, and bazooka/grenade launcher ammo. And I had dozens of healing items stored in the item box, along with even more ammo (I had found so much ammo up to that point in the game that I couldn't even carry it all with me).

You get enough ammo in this game to kill every zombie, dog, and hunter you'll encounter throughout the game. You're handed so much resources, in fact, that the game actually loses a lot of the 'survival horror' feeling to the gameplay. 

This isn't a complaint. It's just an observation. And an inevitable comparison to the 2002 remake, which in my opinion delivers the full, quintessential 'survival horror' experience. 

I actually had a really good time playing through this a few times. Even though it's much easier than the Remake and has less content, this OG version feels like a much 'tighter' and more focused experience. The pacing is much faster. The game feels much shorter. But for repeated playthroughs - OR if you're binging the entire franchise, so you want to get through each game quickly - the tighter pacing and reduced difficulty feels nice.",2327,1,1,0,1,0,2026-04-28,2026-04-28,138,34,716,440
Classic survival horror.  Good to see where this series began.  I'm starting with the originals before playing the remasters.,125,1,1,0,1,0,2026-04-28,2026-04-28,780,378,675,675
"Short and sweet with enough content to keep you hooked the whole playthrough, as well as multiple different endings across 2 separate playable characters. There's a reason this is still one of the best survival horror games ever made.",234,1,1,0,0,0,2026-04-27,2026-04-27,94,3,470,470
"Still one of the best of the series. While 2 is pretty good, the rest in the series is not as good as every says. The very first one suffers from a little clunkiness but still better than the other classics. Concentrate on playing the games that has Shinji Mikami directing, including remake 1, and 4.",301,1,1,0,0,0,2026-04-27,2026-04-27,0,105,211,207
"I knew Capcom would pull through like the goats they are and bring us the classics to Steam. Though the remake is better, it's still so nice to replay and re-experience the game that started it all for an incredible franchise.",226,1,0,1,0,1,2026-04-27,2026-04-27,582,83,358,358
"An absolute masterpiece overshadowed by the release of its 2002 remake. If you're someone looking to get into the resident evil series - have maybe played bits here and there of the newer games - or are completely starting fresh, I highly recommend starting here. 

There is a charm to the casting & dialogue - world design - pacing - that is PERFECT here and missing in the remake. Please do yourself a favor and START here. You have a right to know what gave this series the launch into a billion dollar franchise - an answer you will ONLY find in this game.",560,1,1,0,2,0,2026-04-27,2026-04-27,0,21,711,711
The game that started it all for me...,38,1,1,0,0,0,2026-04-27,2026-04-27,0,1,434,418
Hey Capcom I dare you to rerelease Code Veronica. Do it you cowards.,68,1,1,0,5,0,2026-04-27,2026-04-27,0,43,575,486
on goot,7,1,1,0,0,0,2026-04-27,2026-04-27,165,17,784,559
Amazing port of a classic. Hope to see more in the future.,58,1,1,0,2,0,2026-04-27,2026-04-27,0,53,217,209
"miserable crashes, horibble controls, scarce ressources making me play with knife and dying over and over until i find bullets again, unclear directions, with all of these agonizing elements im gonna have to give this game a... 100/10...why? CAUSE REBBECIEEEEEEEEE BEST GIRL :DD",278,1,1,0,0,1,2026-04-26,2026-04-26,356,77,545,545
"""You are almost a Jill Sandwich!""",33,1,1,0,1,1,2026-04-26,2026-04-26,474,76,649,649
Tank controls and fixed camera angles = pure survival horror excellence. Soundtrack and the voice acting add a real b-horror charm. A classic for a mf reason.,158,1,1,0,0,0,2026-04-26,2026-04-26,0,15,1424,1036
"Great game, feels amazing to play 30 years later",48,1,1,0,0,0,2026-04-26,2026-04-26,105,12,750,741
"Eu nunca tinha jogado o RE1 clássico, só o remake, mas tenho que dizer... Este aqui é um jogão! Claro, ainda prefiro o remake, mas o este clássico é muito gostosinho de jogar, tem algumas das mais icônicas músicas e diálogos dos games. Essa versão lançada na steam que foi feita pela GOG é bem boa, dá pra pular as animações das portas abrindo, não tem a cutscene inicial censurada como na primeira versão de ps1 e não tem aquele travamento de leve na troca de ângulo de câmera, são ótimas melhorias de qualidade de vida e deixam o jogo muito mais fluido. Se tem algo que não gostei, foi só o fato do steam overlay não funcionar nele e em nenhum dos três REs clássicos aqui, mas pelo que vi, esse não é um problema que todo mundo tem, algumas melhorias feitas pela comunidade e fica tudo certo, dá até pra colocar mods e melhorar de tudo no jogo se você prefere jogar assim. No mais, recomendo pacas essa versão da Steam, é um bom jeito de experimentar o RE1 clássico sem ter que emular.

OBS: Os requisitos estão todos errados, não tenho nem metade deles e o jogo roda numa boa, nunca vi 8 GB de RAM ser necessário pra rodar um jogo de ps1... Se você tem um pc mais fraquinho que nem o meu, pode comprar sem medo.",1214,1,1,0,8,0,2026-04-26,2026-04-26,73,37,694,694
"Is very good game, but is very Enigma DRM. No no no.",52,0,1,0,6,0,2026-04-25,2026-04-25,260,25,362,359
