review,review_length,sentiment,purchased,received_for_free,votes_up,votes_funny,date_created,date_updated,author_num_games_owned,author_num_reviews,author_playtime_forever_min,author_playtime_at_review_min
<3,2,1,1,0,0,0,2026-05-06,2026-05-06,301,141,131,131
"Absolute Masterpiece. 
Honestly i feel like i dont have to say anything else.",78,1,1,0,0,0,2026-05-06,2026-05-06,80,6,367,365
Very fun puzzle horror game. I like the differences between both stories,72,1,1,0,1,0,2026-05-05,2026-05-05,0,5,1014,1014
I love this game!,17,1,1,0,1,0,2026-05-05,2026-05-05,60,11,62,62
"I never played the original RE2 or RE3 back in the day, only the first one. With the remakes out, I figured “why bother,” but after spending some time with this, I was wrong.

Are the controls great? Not really. Tank controls definitely feel dated and take a little getting used to, but after about 10 minutes it starts to click and you’re moving around just fine.

What surprised me most is how well the game still holds up. The pre-rendered backgrounds have a ton of charm, and the tension is real. They packed even more zombies into this one, and walking into a room full of them still gets your heart going.

One thing I do miss in the newer games is the puzzles. The originals feel a bit more involved. Nothing crazy difficult, but they make you think just a little more.

On Steam Deck, performance is perfect now if you use Proton Experimental with the registry fix. It used to not boot at all, but that issue seems fully resolved.

If you’re an RE fan and have been on the fence about the originals, I’d say give them a shot. It’s a very different kind of survival horror, and still a great time.",1104,1,1,0,0,0,2026-05-05,2026-05-05,514,60,298,298
"so i never liked the remake but i never fully played the original as a kid, i just watched my brother play it bc i was too scared to play it back then. My main beef with the remake is it feels soulless. I could tell back then and i can tell now.  To me all they did was take a classic story tied with interesting and unique gameplay and they turned into another generic zombie game where the characters have no interesting qualities. For me the originals work because of how likeable the characters are. The characters are really charming, even irons, who is still a monster like he was in the remake. However in the remake he was a creep and a weirdo and the way that game treats claire in general is really bad, they turn her from a capable collage student whos looking for her brother into a scared woman who needs a man to rescue her in literally every cutscene. They turn leon from a cop who got so drunk he missed his first day on the job because his girlfriend broke up with, but hes still a really good dude hes just flawed, like ya know, a person is into a himbo cosplaying as a cop whod rather hold a man in jail during a zombie apocalypse than help him out where as the original leon gave ben no other choice but to come with him if he wanted to live, and i know leon wasnt always the brightest but he was never downright stupid or cruel enough to watch someones head get crushed right in front of him, and he never demeaned ada or claire. His whole motivation was he wanted to save people and in the remake i just cant tell what this mans motivations are because he changes them literally every cutscene. For the original however, I put 4 hours in today because i was so hooked by the games amazing intro and the way it slowly builds dread and tension while teaching you every thing you need to know to survive without holding your hand. Your first encounter is immediately fight or flight and you will die a few times if you dont know how the controls work with the camera angles, it took me about 5 minutes to get to kendos and an extra 20 actually getting through to the police station because there is no autosave and thats just something i love incorporated into horror games because of how much it ups the stakes its really unique and honestly i can see how modern gamers wouldnt like these controls and the save system because they come across as tedious at first but as you get used to them its not really that bad because the game was designed with these types of systems in mind so it knows what to throw at you at any given moment, you just have to figure out how to survive and thats why i love it. I just think the original in general is superior and i can see myself playing this game all the way through for each character before i get the original resident evil nemesis. To conclude, im really happy capcom rereleased these games, these are lowkey what the remakes shouldve been all along",2916,1,1,0,0,0,2026-05-05,2026-05-05,0,21,493,226
"this hurts me to do but im going to leave a negative review for the DRM
in short great game good port ruined by capcom DRM

so why i dont like the DRM is because when you go offline saves dissapear so you always have to be online for a singleplayer  20 year old game
this bothers me because there are no achievements or any online functionality like no RENET or any leaderboards so its stupid to not be able to play this offline

i have also had a few crashes once i tried to save and it crashed, another time i went through a door in the later game and it crashed

the only bad thing about this is the DRM capcom added because i have heard if you buy this straight from GOG there is no DRM 

the game itself is amazing and adds a lot more compared to RE1 like i was amazed you could shoot off zombies arms and legs plus playing as the other character is more interesting because you get new paths 


if you were to get this port just buy it from GOG",950,0,1,0,2,0,2026-05-05,2026-05-05,373,30,722,708
"ohoo, this is where the franchise has peaked and a big turning point for expanding the game's main storyline after the events of Resident Evil (1996). improved graphics, new weapons, new characters/survivors, new system (zapping system), and overall faster paced in decision making. a very good improvement after the first game, but that doesn't necessarily mean that it is better than RE1 or RE3, they're all perfection in their own unique ways that differentiate on what makes them so special and memorable for all the console players back in the '90s.

i didn't like the game, i [b]loved[/b] the game. just recently completed the Claire A route and Leon B route, i can tell you dead in the eyes that it is a FUN ride. i didn't get the time to try the additional features after finishing the game but from what i've gathered so far in my experience it was worth my time to play it.

while i understand the whole DRM-thing going on last time i reviewed Resident Evil (1996), it didn't hinder or nor bothered me a bit in terms of how it performed. you can play the rest of the game modded or unmodded but i'll leave that entirely up to you to decide. in my own case i did mod the game like last time, just with an exception of not installing HD or any of that AI generated graphics as i believe it'll lose the game's charm with all the HD smoothness, just isn't my cup of tea to mod a relic from the past, especially when it is a very old game that's just perfect as is with the whole bit-crushed pixels of 320x240, no anisotropic filtering, no antialiasing, no nothing.

a solid game and definitely worth your time despite the reputation it has gotten for the issues & complaints people say about the 3 trilogies, i personally don't find it problematic even though in a professional moral stand point it is indeed kinda stupid to label it DRM that was first released 30 years ago, people already cracked it but it's whatever.

again - despite the mixed reviews, i think it's still worth it when it went on sale or -50% like the rest of the original trilogies. i recommend buying it went it goes on sale to buy it 5 bucks, but you can buy it right away for 10 bucks if you wish to show support. all up to you.

good luck blowing the rotters dome's, survivor.",2258,1,0,1,0,0,2026-05-05,2026-05-05,124,38,713,713
I really enjoyed this game and I think its better than the first one which is already good. I felt like I was more limited in resources for most of this game until the end which made the game have more tension. It was also definitely scarier as well (im bad with horror lol).,275,1,1,0,0,0,2026-05-04,2026-05-04,171,21,501,501
PEAK,4,1,1,0,0,0,2026-05-04,2026-05-04,1785,349,56,56
