review,review_length,sentiment,purchased,received_for_free,votes_up,votes_funny,date_created,date_updated,author_num_games_owned,author_num_reviews,author_playtime_forever_min,author_playtime_at_review_min
"Honestly if the dodge wasn't so ass this could probably be one of my favorite games of all time. There's so many cool and unique things about this game that aren't in the remake and Nemesis is just perfect. To me, there might be more to like here than any other RE that I've played so far, but the ♥♥♥♥♥♥ dodge makes for some really frustrating parts of the game like the gravedigger boss fights. This was so close to a 10/10 but even so I really loved it. Solid 9/10 imo.",472,1,1,0,0,0,2026-05-06,2026-05-06,0,34,625,625
it is actually so good i have only played 8 5 4 3 2 2 og 4 og and i almost busted when playing thhis,100,1,1,0,0,0,2026-05-06,2026-05-06,2,1,309,307
All resident evil games made in existence are masterpieces,58,1,1,0,0,0,2026-05-06,2026-05-06,80,6,209,209
"Jill at her peak badass self, an absolute banger of a game, if you haven't played this game you haven't been in raccoon city. go in blind and thank me later, enjoy your time.",174,1,1,0,1,0,2026-05-06,2026-05-06,412,148,197,197
Resident Evil 3 in general is an amazing game and you haven't experienced it properly until you've played the original. This port is great and it perfectly encapsulates the nostalgia surrounding the original game. In order to actually leave the game you need to hit the ESC key (which seems obvious but it can be confusing). The game could use some Steam achievements but besides that it's a really good port.,409,1,1,0,0,0,2026-05-06,2026-05-06,0,18,539,539
"great game, even better when modded",35,1,1,0,0,0,2026-05-05,2026-05-05,103,10,517,517
Love this game! I remember playing this game when i was like 9 on Ps1 <3 Nemesis scared the sh** outta me lol still amazing if only the Remake was as good as the original,170,1,1,0,1,0,2026-05-05,2026-05-05,60,11,48,48
"I don't care if you think this game is good or bad, this is an absolutely awful port. No options menu, no way to exit to main menu in-game, coin flip whether it crashes when you tab out. It doesn't even have the decency to crash correctly, because it just refuses to close, forcing me to exit the entirety of Steam to even CLOSE THE GAME. This is comical levels of horrendous.",376,0,0,0,1,2,2026-05-05,2026-05-05,320,19,1433,914
"happy to see that this game is still a blast and challenging even after all those years, definitely my favourite out of the original trilogy.",141,1,1,0,2,0,2026-05-05,2026-05-05,73,14,781,765
I hate DRM. Resident Evil 3.,28,1,0,0,0,0,2026-05-04,2026-05-04,836,34,335,181
"Way better than the RE3 remake, this is the real RE3.",53,1,1,0,0,0,2026-05-04,2026-05-04,0,14,322,322
9.8/10,6,1,1,0,0,0,2026-05-04,2026-05-04,0,1,265,193
nemesis is a pain in the ass,28,1,1,0,0,0,2026-05-04,2026-05-04,382,51,493,493
The best resident evil. The replay value in this game is incredible with each playthrough having different enemy spawns and RNG elements. Definitely worth it.,158,1,1,0,0,0,2026-05-04,2026-05-04,25,3,253,253
The first Resident Evil game to actually scare me.  ♥♥♥♥ Nemesis,64,1,1,0,0,0,2026-05-04,2026-05-04,0,16,382,67
