review,review_length,sentiment,purchased,received_for_free,votes_up,votes_funny,date_created,date_updated,author_num_games_owned,author_num_reviews,author_playtime_forever_min,author_playtime_at_review_min
gud,3,1,1,0,0,0,2026-04-05,2026-04-05,0,25,416,373
"Putting a review as a big thumbs up to Capcom decission to bring more oldies Resident Evil titles, hoping to bringing back this one to the catalogue. I always was curious about the concept, and I think the problem was that was way ahead of time and Game Windows for Live. I played years after release alone and was a blast! But I leave it until GFWL problems didn´t let me play. Now that is removed, I can play it again and enjoy it. Please Capcom, there is plenty market for these re-releases, or bringing titles like Umbrella Chronicles/Darkside Chronicles with mouse aiming support. I would totally support them here and other storefronts",641,1,1,0,6,0,2026-04-04,2026-04-04,0,14,108,108
"I had fun with this game. It is a 3rd person shooter. The story is not canon, more like a  alternative reality.

I mean, if you just want to run and gun, rhis game is the right one for you. No important story, no difficult riddles, no survival mechanics and mostly no horror.^^

Enjoy, enjoy. :3",295,1,1,0,1,0,2026-04-01,2026-04-01,0,86,158,101
"This game actually isn't that bad, There's some frustrating parts where a million bullets and enemies are chipping away at your health before you can figure out what's going on and you gotta restart about 7 times, but mostly it's a cool parallel trip through the first 3 games crossing story paths with Leon, Claire, Mr. X and Jill, Carlos, and the Nemesis through famous locations along the way. A bit clunky and basic gameplay wise, just shoot bullet spongey zombies, hunters, and other types of RE enemies and move to the next checkpoint as an Elite Umbrella soldier team called The Wolf Pack, who's tech and equipment do not line up with anything that existed in 1998, the fun is the trip through the classic Raccoon City story that ends too soon, but you do get DLC with Echo Six, a different team of good guys working with Jill that almost doubles the game's length. 

You also get to choose to kill Leon at the end, as if you could bring yourself to if you're coming off of Requiem.",989,1,1,0,7,0,2026-03-28,2026-03-30,596,120,824,587
"After setting this game up and playing it till about Chapter 3 where I place EMPs on generators I am reminded just how absolute trash-tier this game is. Bear in mind I was playing offline. Enemy spec ops shoot with pinpoint accuracy and ai teammates do stupid annoying things like running in front of me or running out in the open in front of an entire wave of spec ops and immediately getting flatlined. I know this was designed for online play but it's pretty unplayable in Lights Out. Thinking about it I recall playing this all the time on PS3 with other players and I actually never made it all the way through certain levels to reach the Super Tyrant level, Redemption. Which is a level I really want to play but simply do not have access to. And if you don't beat levels then you don't access later levels in the game, which is fair but also sucks since there simply is content you don't get to experience either due to teammate's incompetence or ai teammates competing to be worse than RE Outbreak ai. I would still have to say RE Outbreak teammate ai is still the worst and sets the brown standard for ai-controlled allies in the RE series, despite all five Outbreak fans glazing that game and shouting from the mountain tops about how great that game was. If not for DRM, there would be a more easy way to join online servers and meet up with either good or moderately experienced players who might actually be able to clear levels that have the MR. X enemies and waves of hunters. Otherwise, it's just not a game that can be played solo. Primary weapons hardly matter, seeing as NPCs like Nicholai one-tap you from behind while a wave of spec ops spawns to your right immediately as you press a button to raise a generator. Game's bad for the sin of making a game only truly playable with other players. This is a hard pass if you don't want the hassle of trying to go online with a game that shot itself in the leg with DRM.",1936,0,1,0,1,2,2026-03-24,2026-03-24,148,65,1258,255
cant even play it freezes in ten min of playing every time i boot it up same part hopefully they fix the issue considering that i paid  for it,142,0,1,0,3,0,2026-03-23,2026-03-23,0,2,76,73
NEED REMAKE,11,1,1,0,26,3,2026-03-22,2026-03-22,0,10,1302,1302
"Loved this game, its really fun to play with 3 other people for the co-op storymode, especially if they've never played this release in the RE universe, but its a pain in the ass to get running without following the WinLive guide. Pretty sure they claimed they would remove all of that from these Windows Live era games, but looks like they just decided to not sell this one and be lazy about it.",396,1,1,0,4,0,2026-03-20,2026-03-20,0,3,1270,1270
goofy,5,1,1,0,0,3,2026-03-13,2026-03-13,0,5,1344,1312
"This game was awesome back on release!! Capcom if you remake this, my life is yours!",84,1,1,0,10,3,2026-03-11,2026-03-11,0,14,262,262
R.I.P,5,1,1,0,4,1,2026-03-11,2026-03-11,69,8,9483,9483
"The scariest thing in this game is Games For Windows Live.
and the U.S. Military.
other than that, it's mid, buy on sale.",121,1,1,0,8,7,2026-03-07,2026-03-07,280,21,840,649
revive online play please,25,1,1,0,6,0,2026-03-07,2026-03-07,0,10,498,488
"I love this game. I recently started it back up due to Requiem and it is amazing. It is made by a different company that had rights to the game at some point, so it plays differently. Definitely a controller game and clunky for its' time. 

Currently in 2026, this feels like a 3rd-person Left-4-dead with basic equipment/perk system and a refreshing take on the Raccoon City Outbreak. Set just before the Birkin lab incident that started the outbreak.

The game offers some unique systems in it. One notable feature is the infection system in which you can be infected and turn into an uncontrollable Crimson Head. When you're infected, your team can mercy you if they don't want to risk being attacked.

Visually it looks amazing. I felt immersed in the Resident Evil universe throughout the entire game. It does suffer from repeating enemy models.

Game still has that ""early access"" feel, though. You can tell it was forced out of the bakery before it was a proper loaf.

Back in 2012, bought this game 5 times (Still have two-sealed), then once more on PC at some point. Played numerous hours and acquired all the trophies throughout every difficulty, solo and multiplayer.

Beware that multiplayer does not work (03/06/2026)",1230,1,1,0,20,2,2026-03-06,2026-03-06,0,5,697,528
"Perhaps I treated you too harshly. 

Please come back",53,1,1,0,18,2,2026-03-05,2026-03-05,241,27,49,49
Game is very action centric and drops everything we love about Resident Evil. I played this on Xbox back then. I don't think this game is too good. Just a weird hypothetical story with a choice at the end and just other things. Very weird for a Resident Evil game. Doesn't hit the mark with me at all. But let me tell you about the Multiplayer when it did work. It was great. You had a team vs team with infected going about. Very chaotic and fun. but that doesn't help the story or gameplay. 4/10,497,0,1,0,0,1,2026-03-05,2026-03-05,293,13,89,89
very sigma,10,1,1,0,0,0,2026-03-05,2026-03-05,0,19,881,878
"I played this game a long time ago, and kinda liked despite it being not good. Would really like to play it now, but it just will not function. I don't care that Capcom Delisted it, that's not an excuse for not supporting your product people already paid money for. some may say who cares? this games Sucked anyway. and to those people I say, your parents probably think you suck too, but you're still allowed to exist, so this game should have the chance to exist too.",469,0,1,0,47,29,2026-03-03,2026-03-03,0,7,815,403
"Bad in a fun way. Needs knowledge of the esoteric to even get running, but fun with friends to laugh at",103,1,1,0,4,1,2026-03-02,2026-03-02,0,9,337,337
This game was so good! Played it tons on the Xbox. Please fix it and bring it back.,83,1,1,0,83,0,2026-02-20,2026-02-20,0,3,21,21
great,5,1,1,0,5,1,2026-02-18,2026-02-18,0,1,3603,3101
please bring it back!,21,1,1,0,49,0,2026-02-12,2026-02-12,165,12,247,247
"By now, everyone knows that this is a bad game. It's not even available on the Steam Store as I write this. If you're reading this, you probably own it already.

So if it's bad, is it still fun? Kinda.

The story is *very* non-canon, with regular run-ins with Leon, Claire, Jill, and others, but they go on wild tangential adventures that are completely incongruous with Resident Evil 2 and 3. And what little story there is barely amounts to anything. It awkwardly wedges your team into scenarios already taking place in other games but doesn't add anything substantial to the lore. You're just a team of gun people on a mission to help or hurt Umbrella, depending on whether you're playing the main campaign or the DLC.

Speaking of which, the DLC is 7 chapters long and has as much content as the main campaign, placing you in the role of the good guys as opposed to the main game's Umbrella team. It's a little better put together, with a few objectives that reach beyond ""kill and survive"", and has more frequent set piece battles. It feels like it got just as much attention and budget as the main game, so it's worth playing if you want the full experience.

The gameplay is bad for a few pretty obvious reasons. It's sloppy as a shooter, it's even sloppier as a cover shooter, the AI is laughably terrible, and the presentation is decent but same-y throughout. One truly annoying feature is a waaaaay zoomed-in FOV, which actually made me nauseous until I got used to it. It's bad enough that I installed a mod (check the guides) to fix it, which was nice, but it made the game unstable and crash more frequently, which was not nice. YMMV.

It has a wild difficulty curve - on Veteran difficulty it had some punishing bottlenecks, and when I kicked the difficulty down to Normal to get through the DLC, my companions would still get regularly mowed down within seconds of an encounter beginning. Your health absolutely melts if you're being shot at by more than one enemy at a time, so if new enemies spawn and catch you unaware, it's a guaranteed restart until you learn those scripts. In terms of enemy design, it's a little strange and disappointing that soldiers are so much more dangerous than zombies, which make zombie-based areas even late in the campaigns feel much easier than soldier shoot-outs earlier on. Considering this is a game heavily influenced by Left 4 Dead, which made zombies VERY dangerous, this is a bummer.

So what about it is fun? It feels nice to be in the Resident Evil world, and I think the game does a decent job capturing a frenetic action style that keeps you engaged in combat even when dealing with the game's plethora of inconveniences. At its best, it can feel like a reasonable facsimile of Resident Evils 5, 6, and Revelations, in that weird horror-themed action rut the series found itself in during that middle era. There's nothing wrong with that style if you're willing to forget how much better the survival horror games before and after are. It can get your adrenaline going, and a few times when my team was fully dead in a tough firefight, I got through by the skin of my teeth in a way that felt very satisfying.

There's about a million better shooters and at least a dozen better Resident Evil games out there, but if you're a series completionist like I'm trying to be, you'll probably still have some fun with it. Just expect to feel equal parts frustration and bafflement at times when you realize this was a product that actually released, and also sold 2 million copies.",3535,0,1,0,5,1,2026-02-12,2026-02-12,900,109,583,583
"Play as the cool bad guys... except this game feels like it was rushed through its development and never finished. I remember playing REORC as a kid and having fun with the coop and pvp, but as an adult, I ended up disappointed, because most the ingredients are here, but it's undercooked and rushed to delivery. Ultimately, a cool concept that seems rushed and incomplete. A full remaster/reimagining would go a long way. I would love to see more Resident Evil games where you get to play as bad guys.",502,1,1,0,7,0,2026-02-05,2026-02-05,870,13,814,814
God I loved this game. Please fix it and bring it back!,55,1,1,0,28,0,2026-01-27,2026-01-27,28,13,1275,757
EPIC!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,43,1,1,0,0,0,2026-01-24,2026-01-24,176,104,1481,1481
Will have to run as administrator for it to work in 2026.,57,1,1,0,12,0,2026-01-24,2026-01-24,130,36,2209,2129
RE,2,1,1,0,0,1,2026-01-11,2026-01-11,712,17,131,127
