Game,Steam App ID,Original Release Date,Steam Release Date,Steam Rating,Tag
Resident Evil (1996),4249100,1-Mar-96,1-Apr-26,81.10%,
Resident Evil 2 (1998),4249110,1-Jan-98,1-Apr-26,82.35%,
Resident Evil 3: Nemesis (1999),4249120,1-Sep-99,1-Apr-26,83.83%,
Resident Evil (HD Remaster),304240,1-Mar-02,1-Jan-15,90.41%,
Resident Evil 0,339340,1-Nov-02,1-Jan-16,79.03%,
Resident Evil 4 (2005),254700,1-Jan-05,1-Feb-14,92.55%,
Resident Evil 5,21690,1-Mar-09,1-Sep-09,85.75%,
Resident Evil Revelations,222480,1-Jan-12,1-May-13,79.63%,
Resident Evil: Operation Raccoon City,209100,1-Mar-12,1-May-12,54.84%,
Resident Evil 6,221040,1-Oct-12,1-Mar-13,76.85%,
Resident Evil Revelations 2,287290,1-Feb-15,1-Feb-15,76.92%,
Resident Evil 7 Biohazard,418370,1-Jan-17,1-Jan-17,93.96%,
Resident Evil 2 (Remake),883710,1-Jan-19,1-Jan-19,95.85%,re2r
Resident Evil 3 (Remake),952060,1-Apr-20,1-Apr-20,81.88%,re3r
Resident Evil Village,1196590,1-May-21,1-May-21,94.31%,
Resident Evil 4 (Remake),2050650,1-Mar-23,1-Mar-23,96.11%,
Resident Evil Requiem,3764200,1-Feb-26,1-Feb-26,94.94%,
