context,count
claire,33
claire redfield,15
claire is hot,14
i love claire,10
i love claire redfield,6
claire 3,6
s kennedy and college student claire redfield as they try to,4
claire hot,4
i want claire to step on me,3
and a huge complication in claire redfield s search for her,3
claire best girl,2
i love leon kennedy and claire redfield,2
the interactions between leon and claire and the a and b,2
i like claire,2
claire s hot,2
claire gyatt,2
i want to marry claire,2
choose to play as either claire redfield or leon s kennedy,2
leon claire,2
claire is a baddie,2
s kennedy and college student claire redfield as they attempt to,2
damn claire is hot,2
claire ate,2
only one man worthy of claire chris you want my sister,2
s kennedy and college student claire redfield as they navigate the,2
allow to start as leon claire but same scenario 2nd playthrough,2
claire 👍,2
get to play as both claire and leon in the game,2
story campaign leon a b claire a b you can either,2
nick apostolides meets college student claire redfield stephanie panisello who is,2
voice lines from leon and claire however other moments such as,2
claire is the best waifu,2
old tale about how leon claire and sherry managed to escape,2
feel the way about leon claire and ava that weebs do,2
they kinda went lazy with claire replay basically for claire 80,1
i cant wait to play claire s story do the other,1
best leon s kennedy beast claire and ada is love,1
of course getting to see claire bear waifu and leon meet,1
at all the leon and claire scenarios sound cool and they,1
play as leon kennedy or claire redfield depending on how much,1
like looking at claires cake other than that mid,1
i like leon i like claire and yes even ada i,1
adore this game so much claire is an absolute badass and,1
gone through the game with claire yet d but i m,1
lovely game claire s gameplay is amazing,1
great game really love claire and leon the rpd map,1
waste the ammunition leon and claire both have their own stories,1
moooostly the same for both claire and leon the differences in,1
uses his rizz to charm claire it s pretty funny when,1
"plan to return for a claire playthrough in the future ",1
the game with ada while claire protects sherry after your first,1
that s confidence leon and claire are fighting desperately to escape,1
to see both leon and claire s side was a nice,1
had so much fun playing claire s story ♡⸜ ˶˃ ᵕ,1
enjoyed playing as leon and claire leon being a rookie police,1
can t say anything about claire s side of the story,1
played both leon s and claire s campaigns and i loved,1
s kennedy ada wong and claire redfield which we should know,1
peak claire and leon,1
leon left with a badass claire,1
day as a police officer claire redfield arrives looking for her,1
separate campaigns for leon and claire give you great replayability and,1
playing as both leon and claire is amazing their 2nd run,1
would recommend definitely gonna play claire s story,1
into the 2nd run with claire right now the game can,1
evil game than continue with claire a i understand the appeal,1
original i prefer the original claire why did they replace alyson,1
played a quarter of but claire a is fire,1
aspects from the original leon claire meeting often but still remains,1
"tense   leon and claire both have their moments and",1
horror playing both leon and claire actually gives you different experiences,1
my antidepressans love the gameplay claires bad claires campaign is tbh,1
the dynamics between sherry and claire and also between leon and,1
i guess theres ada and claire too i guess,1
claire the woman you are,1
i love that leon and claire not only have different routes,1
getting healing items while with claire i had a hard time,1
evil beat both leon n claire s runs n i feel,1
of horror i played as claire and her emotional response felt,1
love leon and i think claire is my favorite character overall,1
both leon s kennedy and claire redfield i can confidently say,1
" leon stop that  claire my name is claire redfield",1
mascot of the series or claire ada and so many other,1
s run and will do claire s now,1
separate stories for leon and claire while they do cover the,1
im working my way through claires at them moment to see,1
characters leon s kennedy and claire redfield resident evil 2 is,1
did leon a route and claire b route overall great game,1
runs for both leon and claire i love this game requiem,1
playing the 2nd run with claire you are missing out big,1
i like claire so very good,1
giving greater depth to leon claire ada and sherry giving them,1
"all over again leon and claire are both fantastic characters they",1
get 2 playthrough leon and claire 4 if you count their,1
two different playable stories with claire and leon i think this,1
it comes to leon and claire runs a and b but,1
"scenarios for both leon and claire   my suggestion ",1
"to the re characters like claire and obviously leon ada ",1
finished my first playthrough with claire on hardcore this game is,1
in replaying the game as claire because while they are different,1
can t wait to play claire s b scenario the rpd,1
have ever played very replayable claire a leon b is my,1
leon is so cute and claire is just amazing ughh 3,1
great game i am on claire s 2nd run because i,1
the second play through as claire the pacing is really fast,1
bit of this peak played claire a and leon b scenario,1
i eventually also wanna play claires story too poor leon,1
leon kennedy and college student claire redfield have to claw their,1
"sprayer flame thrower   claire  starter 35 pistol multiple",1
im a bum and got claires s rank on my 2nd,1
less interaction between leon and claire compared to og one actually,1
sides of the story as claire and leon even though it,1
b playthrough with leon and claire both exploring the rpd at,1
playstation banger from my childhood claire is alright but leon is,1
i just played all of claire in one go it is,1
en el segundo ya sea claire a leon b o viceversa,1
working on 2nd playthrough claire and enjoying it graphics mechanics,1
leon a claire b claire a leon b,1
mc weskers a gooner and claire cool but jills better i,1
stout of heart and fair claire whose resolve outshineth the stars,1
remake ever both leon and claire s story are worth playing,1
there is enough different between claire and leon s runs that,1
loved it need to play claires side next,1
exploration and tense moments leon claire and ada are introduced really,1
rushed the game and made claire s story not correlate with,1
play as both leon and claire i ended up getting rlly,1
of the story i love claire and the game has a,1
"1 finished hardcore claire a with nowhere safe mod",1
play a 2nd run with claire but on easy baby mode,1
principal jogando com leon ou claire dura entre 8 e 10,1
time i am not playing claires story,1
walkthrough leon a b and claire a looking to play resident,1
claire is actually kinda cool,1
more in the orphanage as claire i was blown away mr,1
