context,count
claire redfield,15
i love claire redfield,6
kennedy and college student claire redfield as they try to survive,4
a huge complication in claire redfield s search for her brother,3
kennedy and college student claire redfield as they attempt to escape,3
love leon kennedy and claire redfield,2
leon needs to continue the redfield bloodline,2
leon s kennedy and claire redfield are brought to life with,2
apostolides meets college student claire redfield stephanie panisello who is looking,2
you must continue the redfield bloodline leon,2
you need to preserve the redfield bloodline,2
as leon kennedy or claire redfield depending on how much you,1
of leon kennedy and claire redfield two new protagonists being introduced,1
kennedy ada wong and claire redfield which we should know before,1
as a police officer claire redfield arrives looking for her brother,1
leon s kennedy and claire redfield i can confidently say that,1
leon s kennedy and claire redfield resident evil 2 is a,1
kennedy and college student claire redfield have to claw their way,1
enough bring back the claire redfield too just give me more,1
leon s kennedy and claire redfield this game set the precedent,1
as leon kennedy or claire redfield and see how their stories,1
file completes game as claire redfield with a c rank i,1
he swore to save claire redfield her desperate search for her,1
kennedy ada wong and claire redfield so in total i would,1
leon kennedy and claire redfield funny adventure 10 10,1
characters leon kennedy and claire redfield re2 has two separate story,1
without ever feeling annoying claire redfield is also a big part,1
inside the game btw clair redfield s game mode was boring,1
claire redfield s hot so it s,1
is my husband and claire redfield is my wife no but,1
if claire redfield has a million fans i,1
character in remake 2 claire redfield and leon kennedy have their,1
my boots shoutout to claire redfield mommy 💕,1
ani zdjąć ubrań z claire redfield więc oby to kiedyś zostało,1
kennedy the most and chris redfield s sister,1
love the ambiance and claire redfield as character but i despise,1
claire redfield i saw you in a,1
leon s kennedy and claire redfield also x going giving to,1
claire redfield is backkk time to play,1
with leon kennedy or claire redfield this game really is a,1
either leon kennedy or claire redfield regardless of who you pick,1
scenarios leon kennedy and claire redfield each bring a unique perspective,1
i completely disregarded claire redfield s storyline for the sole,1
and claire walk em down redfield get caught in a zombie,1
claire redfield edit cleon,1
my first playthrough as claire redfield took about 9 hours a,1
either leon kennedy or claire redfield trying to solve the mystery,1
leon continue the redfield bloodline probably chris,1
loved stephanie panisello as claire redfield and i hope she comes,1
claire redfield 10 10 game,1
"leon s kennedy and claire redfield carry it pretty well ",1
had in store also claire redfield is cool,1
excited when they mention chris redfield,1
kennedy and another for claire redfield unfortunately both campaigns are practically,1
things to say regarding claire redfield in a wifebeater,1
kennedy and the tough claire redfield find themselves in the middle,1
i stared at claire redfield s ass the whole time,1
to say claire really got redfield in her genes had a,1
the better redfield is in the game d,1
finishing the game as claire redfield i can say the experience,1
we got to see claire redfield in action and she is,1
leon s kennedy or claire redfield each character has two different,1
"all the love to claire redfield ♥ soon i ll play",1
leon s kennedy and claire redfield who are trying to escape,1
claire redfield campaign is goated leon s,1
claire redfield is my girlfriend,1
