context,count
this is sherry ok,3
sherry,2
police station first who met sherry first are there multiple mr,2
about how leon claire and sherry managed to escape the damned,2
love my little rat daughter sherry,1
with ada while claire protects sherry after your first playthrough you,1
enjoyable especially her connection with sherry i liked seeing their different,1
i loved the dynamics between sherry and claire and also between,1
two partners changing ada and sherry i would ve loved if,1
and unneeded together with the sherry s school part but its,1
sherry and ada s parts make,1
is my favorite character overall sherry is so cute and i,1
the elevator when claire and sherry were about to escape william,1
knowledge absolute peak claire and sherry best girls,1
to leon claire ada and sherry giving them greater emotion this,1
i prefer claires campaign because sherry birkin is adorable and is,1
it still feels fresh with sherry and ada introduced into specific,1
the cutest duo ever and sherry as their daughter oh how,1
leon you can never see sherry or claire around and as,1
overall a great time the sherry section scared the ♥♥♥♥ out,1
the same thing except for sherrys segment overall its a great,1
watched was re9 so hey sherry spoiler overall the game is,1
just having beat it sorry sherry leon is the golden retriever,1
personal especially after she meets sherry birkin because she s not,1
becomes the sole protector of sherry birkin—a child whose family was,1
absolutely amazing 3 sherry n claire forever 10 10,1
stand back sherry this resident is getting evil,1
"and terrifying orphanage section with sherry   this game is",1
toast nd id also give sherry a nice cup of soup,1
come from trying to protect sherry which adds emotional weight on,1
with the way she treats sherry and how the last arch,1
"me   cons  sherry and ada s parts are",1
except the stealth section for sherry claire s scenario and ada,1
also if anything happens to sherry or claire my day will,1
in love with the story sherry s lore broke me and,1
moments particularly her relationship with sherry the differences between the a,1
the storyline in this game sherry is my baby 3,1
claire following the mildly annoying sherry sequence combined with having to,1
to the highest bidder and sherry is a little girl whose,1
how to adopt sherry,1
damn sherry,1
play through due to the sherry storyline i felt like the,1
of i don t like sherry s factor in this game,1
out of it and the sherry segment while well done for,1
that helped connect leon claire sherry and birkins together are either,1
but i enjoyed claire and sherry s story even more running,1
with her taking care of sherry but leon s campaign was,1
they improved the ada and sherry sections too the zombies and,1
♥♥♥♥ my pants in is sherry s segment then again she,1
but always got really lost sherry is my child and i,1
amazing claire s story and sherry s segment are so well,1
the game introduced characters like sherry seeing events unfold from different,1
fan of ada s and sherry s segment ada s wasn,1
leon and claire and ada sherry are fantastic and both are,1
better than leon s having sherry to bounce off of made,1
love leon and claire and sherry is great love this game,1
kill her twice and kidnapped sherry for ransom classic suicidal empathy,1
instead of ada it is sherry i would not mind having,1
s section is tedious and sherry s is boring other than,1
are very emotional such as sherry s mother dying right in,1
