context,count
0 as she technically had chris but with him being locked,1
t seem as boring as chris but jill is so ♥♥♥♥♥♥♥,1
have 2 concurrent campaigns like chris claire had i think graphics,1
is my favorite pairing since chris and sheva now i don,1
biggest difference maker was the chris redfield special moves book before,1
leon and chris aint got ♥♥♥♥ on jill,1
carlos is no chris but its okay because he,1
during those chapters jill and chris were super fun to play,1
remind me so much of chris redfield why does everything have,1
tryna hit on jill if chris finds out he s cooked,1
they did make him mirror chris way more in this game,1
motion and carlos feels like chris redfield with more cardio i,1
parry atacks like leon or chris,1
valentine for me is after chris redfield the best protagonist of,1
and character development especially for chris and sheva would make the,1
"af playing both jill and chris is fun 90 discounted steal",1
strength that would genuinely impress chris redfield she is a girl,1
"schine went on to become chris  tldr fun little game",1
the franchise above leon and chris in my opinion this new,1
we don t know where chris is nera with his mirror,1
got the best ending with chris and barry ok then i,1
resident evil dead island even chris kneels before jill this game,1
railgun at the end is chris punching boulders level of stupid,1
at all feels whack like chris redfield punching a boulder in,1
his mouth acting like re5 chris and saving jill from nemesis,1
executed it s unfortunate that chris redfield isn t included like,1
9 rebbeca chambers billy coen chris redfield jill valentine ✅ leon,1
it s like to be chris brown s wife this can,1
much as the three poor chris btw,1
take similiar to playing as chris redfield where brute force is,1
lives of both claire and chris inaccessible to remake players is,1
mod to replace carlos with chris if capcom won t give,1
not a complaint and also chris ♥♥♥♥♥♥♥ redfield from village why,1
why did chris shoot the vaccine,1
is a great starting point chris and jill have such a,1
new iterations of ethan ass chris the molded,1
incarnate b do you remember chris in resident evil 5 hitting,1
wait is that leon and chris oh my god ♥♥♥♥ you,1
h1 does not include chris h1 spoiler free jill carlos,1
claire searching for her brother chris spoiler all in all my,1
reasons you should play also chris and jill should bang also,1
carlos than she does with chris,1
carlos oliviera before returning as chris redfield in re village and,1
get in store items like chris reds book or the attack,1
little weird hearing jeff schine chris redfield playing carlos but he,1
i d prefer to have chris but that wouldn t really,1
about as stupid as when chris punched that boulder in re5,1
in the same vain as chris redfield like ada wong in,1
job and his role of chris in re8 is well deserved,1
listen jill chris thinks you and him are,1
i can it is always chris leon and claire and re2,1
okay and characters too but chris claire and the rest from,1
taking place after jill and chris take on the mansion and,1
at higher difficulties practice with chris redfield s woooo my boi,1
good contender for boulder punching chris brilliant 7 10 if it,1
making up for abandoning jill chris and wester at the start,1
punch evasion move similar to chris redfield punching a boulder as,1
of 5 please dont kill chris in r e 8 i,1
best still yes even though chris redfield is punching boulders,1
like where you escape with chris before his final boss battle,1
point carlos pulls a genuine chris redfield letting fly a haymaker,1
game we catch up to chris and claire in code veronica,1
where the main cast jill chris leon claire and carlos reunites,1
and carlos will do a chris style haymaker that will knock,1
in the walls etc before chris entered the damages police station,1
change faces just look at chris whoever thought it was a,1
hand is the equivalent of chris punching boulders she would be,1
much as i love jill chris leon and claire it s,1
other clean cut protagonists like chris or leon at least visually,1
more if they add leon chris ada hunk and especially nemesis,1
claire michail nicolai ada and chris redfield there is few bugs,1
i ship carlos jill d chris be like am i a,1
so hard in this if chris is just gonna swoop in,1
sold as dlc carlos has chris s boulder smashing punch from,1
an enemy unlike leon and chris we get to fight a,1
who fell into steroids like chris in re5 alright game isnt,1
the teeth more than re5 chris did did i say that,1
ada like capcom did for chris in res 7 to add,1
the dialogue between carlos and chris is perfect and doesn t,1
went up against the doomslayer chris ight ima bout to punch,1
bland he is basically latino chris redfield and brad he is,1
make a great duo no chris but still acceptable the bad,1
giving me terrible flashbacks of chris redfield punching boulders as again,1
not look like the originals chris carlos and jill especially while,1
t get any mention of chris i would have rather they,1
5 so i can see chris punch the frick out of,1
o w s just like chris redfield from re5 as for,1
feeling like when you playing chris from resident evil 5 you,1
find it reminded me of chris punching boulders in resident evil,1
say is chad carlos virgin chris,1
horror games ever story follows chris redfield and jill valentine two,1
playing a long game with chris and claire thats fair all,1
most importantly you can acquire chris redfield s field combat manual,1
