context,count
yeah welcome leon bet you had a kickass,3
where is leon kennedy,2
as we see the cop leon later encounters getting bit when,2
welcome leon,2
i miss leon,2
jill and carlos i prefer leon claire ashley and ethan much,1
i have seen leon and claire s perspective on,1
wore a bulletproof vest like leon did i like that she,1
locations because this happens before leon enters the scene and what,1
to finish the entire game leon and claire combined the bright,1
why everyone is thirsting for leon when this god is walking,1
my top 3 protag with leon and claire so that was,1
confidently but in re2 when leon and claire do something similar,1
blocked off hall in re2r leon is stopped by the fact,1
game i preferred her over leon and claire she s charismatic,1
i just wish it was leon s kennedy actually maybe i,1
a jill uma mobilidade que leon e claire não tinham o,1
went when i finished playing leon s a scenario on assisted,1
13 hours to complete both leon and claire s campaigns in,1
carlos se coge a leon fácil leon bueno para nada,1
and less interesting characters than leon and the rest of them,1
as i like claire and leon that doesn t mean they,1
like re 2 with less leon but a better hardcore mode,1
was a supporting character for leon or claire jill has her,1
if this is biased for leon and every game he s,1
the events take place before leon makes it to r p,1
over re2 where claire and leon were 90 the same story,1
care about jill anymore when leon gets a game they put,1
quite as nice as daddy leon still recommend,1
layer of sarcasm and defiance leon s kennedy just rolled over,1
is really kicking off unlike leon and claire carlos is ok,1
raccoon city police department before leon s arrival is a great,1
carlos ain t leon but i ll take it,1
leon valentine 👍,1
re3 i get that its leon and claire is still a,1
the sewers perhaps similarly to leon s adventure in remake 2,1
make those cheesy yet funny leon oneliners make random remarks about,1
leon and chris aint got ♥♥♥♥,1
no leon,1
"scale narrative from claire and leon s adventure   speaking",1
didn t get to see leon grrrrrr really cool and fun,1
gb only ♥♥♥♥ no no leon,1
time to check in with leon in spain,1
much more combat experience than leon and claire in re2r 3,1
i felt they did with leon and claire in the other,1
are way more agile than leon and claire especially now that,1
room was already open for leon what happened to marvin that,1
idea of doing claire and leon 1st and 2nd runs but,1
in the timeline its before leon got there but there is,1
found a guy guy meets leon in re2 found carlos went,1
shtick we already heard from leon but the dialogue and characters,1
where throwing a grenade as leon and pausing the game showing,1
series is the return of leon s kennedy as he recreates,1
"see what happened there before leon and claire arrived  ",1
2 or as entertaining as leon in resident evil requiem the,1
a lot less sluggish than leon and claire even without taking,1
of a survival horror where leon wants to find what s,1
been in re9 instead of leon,1
really taking centre stage in leon s scenario nemesis only had,1
jill carlos ada leon,1
we were able to get leon and claire s classic outfits,1
would ve been better if leon was here just sayin,1
it is all because leon in re9 nice,1
carlos exploring rpd hours before leon gets there spoiler the details,1
duteroganist he almost feels like leon kennedy lite i can t,1
which featured two parallel campaigns leon and claire that added replay,1
attache case style akin to leon s in re4 i think,1
"you ask me  cons leon isn t in the game",1
the re game with full leon unnecessary backflips kennedy cutscenes than,1
up liking carlos more than leon coming from a player who,1
she cant parry atacks like leon or chris,1
leon s kennedy is john k,1
no leon and short but very good,1
same level for me as leon so far for context this,1
is also very strong bar leon parry but his parry is,1
t work the same as leon s and that is really,1
and while i really liked leon carlos and jill were both,1
this i realized how lucky leon is to safe mr x,1
right of the bat like leon and claire were in re2,1
but sweet jill is what leon think he is,1
some of the villains leave leon alive because they want to,1
fun loving but also genuinely leon esque funny the weapon variety,1
re carlos highkey the hotter leon and i know you will,1
best horror sections ever but leon s character completely carried the,1
jill leon,1
kind of like a prototype leon overall it s a fun,1
qoz kimi oyundu leon pir acsin ziyarete gedecem,1
really good game carlos leon,1
refrences to other characters like leon morgan and megaman these are,1
soldier guys i will take leon claire or grace leon over,1
much better than re2 s leon and claire however it could,1
times into place harder then leon kennedy himself this games great,1
to resident evil 2 while leon and claire s story focused,1
me 24 hours across both leon a and claire b re3,1
focus on that sexy sexy leon,1
character in the franchise above leon and chris in my opinion,1
evil 2 both claire and leon campaign on 1st try in,1
apocalypse in raccoon city while leon and claire deal with the,1
it s not with leon but it s good 👍,1
degree of confidence unachievable as leon or claire the visuals are,1
no leon but jill and carlos,1
went from 3ish bosses with leon to 1 singular boss in,1
raccoon city lore for mostly leon this game helps a bit,1
"the redfield blood line cause leon does not want to ",1
and seemingly less reactive than leon in re2 but the boss,1
vibe gameplay and the goat leon,1
attached to in comparison to leon and claire from re 2,1
"live up to my goat leon  7 10",1
continuously on the hunt for leon claire throughout the majority of,1
is a total icon forget leon being a rookie jill is,1
part of a raccoon city leon s kennedy marathon in preparation,1
like a hobo compared to leon that s about all the,1
in the game like re2r leon s and claire s classic,1
through that same area with leon and finding it already destroyed,1
i where choosing claire or leon led to distinct a and,1
"franchise so far along with leon rebecca of course jill ",1
jill was far stronger than leon ever was which made me,1
no leon 👎,1
leon really got nothing in re2,1
of experiencing the incident as leon or claire you play as,1
much better than re2 and leon overhyped btw,1
remake where i played as leon and completed that just yesterday,1
evil 2 appear set before leon and claire arrive though the,1
lot in the past week leon a claire b and claire,1
series in my opinion sorry leon playing with mods just take,1
down in the sewers watching leon and ada kiss xd,1
hospital arc onwards is where leon and claire had already left,1
we see in re2 with leon that aspect made this game,1
enough plot armor to make leon blush not to mention how,1
had something i wanted with leon punching nemesis fights and cinematics,1
