context,count
up ugh carlos commanding officer mikhail was on death s door,2
done fairly well tyrell and mikhail were massive upgrades over their,1
her reaction to the wounded mikhail in the original and the,1
u b c s members mikhail went out like bro rip,1
minor characters like tyrell and mikhail are a massive highlight—mikhail in,1
cool here maybe playing as mikhail tyrell and maybe even nicholai,1
think is just a downgrade mikhail went from a soldier who,1
herself to kick someone like mikhail when he was down bitten,1
of the human cast is mikhail is more fleshed out and,1
hideous transliteration of nicholai and mikhail victor still being mostly nonsensical,1
the dario daughter playing as mikhail,1
my childhood kicking ass with mikhail and his shotty doing s,1
3 jill 4 nikolai 5 mikhail 6 carlos i m very,1
up making a comment to mikhail within the first segment that,1
the finesse or charm brad mikhail nicholai are unfortunately insignificant and,1
good there are jill carlos mikhail nicholai and of course nemesis,1
and flirty but still likable mikhail is a stronger character than,1
entertaining at the very least mikhail doesn t have much screen,1
but then the explosion comes mikhail sacrifices himself nicolai betrays us,1
the other way around with mikhail it was one of my,1
3 nemesis first form design mikhail the entire ubcs cast tbh,1
mikhail is pretty cool i like,1
i immediately liked carlos and mikhail when they show up but,1
it but i see it mikhail is such a bro man,1
in many modern games the mikhail villain is a bit overly,1
play for like tyrell or mikhail marvin idk entire storyline takes,1
and raw chads such as mikhail or the introduction to the,1
muthaf n monitor of umbrella mikhail viktor he s character got,1
you finish your conversation with mikhail to the end of carlos,1
going to do something evil mikhail s despair over the loss,1
of characters like nicholai and mikhail both the russian s funnily,1
b c s carlos oliveira mikhail victor and nikolai zinoviev nikolai,1
i like the new carlos mikhail and nikolai jill is alright,1
still cute charming and selfless mikhail just as heroic and i,1
of his platoon carlos and mikhail in the first half of,1
distrusting dynamic between jill and mikhail for instance on the other,1
is very likable nikolai and mikhail are well acted for the,1
of non american characters like mikhail and carlos who have an,1
has his hispanic american accent mikhail kept his accent but carlos,1
great form and nicolai and mikhail are enjoyable as well and,1
and carlos are better now mikhail actually have a little purpose,1
that was in the original mikhail is injured like in the,1
pros b list jill carlos mikhail and tyrell are much better,1
version are more fleshed out mikhail nikolai carlos is amazing good,1
but some honorable mentions are mikhail and tyrell there are a,1
city and how their leader mikhail victor got injured instead of,1
is with his quirky humour mikhail is still the absolute g,1
again is blown up by mikhail and stage 1 nemesis is,1
like jill and carlos plus mikhail being a total badass certain,1
awesome story is incredibly good mikhail tyrell jill carlos and specially,1
the re3 1998 scene with mikhail going to town on some,1
to his human appearance 3 mikhail doesn t have much time,1
up between carlos and jill mikhail s character nikolai s even,1
fun replayability with the shop mikhail is bill overbeck doom slayer,1
adventure and the mercenaries with mikhail and nicholai playable,1
carlos are good thats it mikhail gives you like 5 lines,1
one liners without sounding insecure mikhail has the biggest character remake,1
on models like carlos and mikhail without massive downsampling the taa,1
the cheesy one liners while mikhail and nicolai doesn t get,1
tyrell brad kendo spoiler and mikhail got more screentime i wanted,1
set piece no newspaper office mikhail s scene became more epic,1
thing can be said for mikhail • i personally liked the,1
the nemesis secondary characters like mikhail or nikolai are irrelevant mikhail,1
too supporting characters brad nicholai mikhail tyrell are all really well,1
and ambushed hinted at by mikhail can be added to the,1
and feel vibrant good old mikhail two first names victor also,1
they ve changed carlos and mikhail a bunch compared to their,1
a cursing guy inside container mikhail vs nemesis scene looked weird,1
to life such as brad mikhail nicolai the dodge mechanic was,1
grave digger are missing completely mikhail viktor is way less badass,1
at all no scenario changes mikhail dying early ect enemy spawns,1
quality voice acting jill carlos mikhail nicolai brad tyrell and even,1
voice acting is okay only mikhail victor va is underwhelming and,1
come and go super fast mikhail is probably the best actor,1
characters are all poorly developed mikhail still remains my favorite and,1
is truly something to behold mikhail was a cool dude so,1
the player to interpret that mikhail has been watered down poor,1
promising secondary characters such as mikhail get their potential development tragically,1
want to play as nikolai mikhail tyrell carlos dario murphy and,1
carlos story maybe brad nicholai mikhail or marvin or all of,1
needs improvement more content mikhail or nicholai mission story with,1
dixk and nothing else 12 mikhail died like a disgruntled old,1
