context,count
antagonist although i personally preferred mr x from resident evil 2,2
don t follow you like mr x he shows up a,2
to navigate the outbreak from mr x to nemesis the pressure,1
s a lot cooler than mr x from re 2 he,1
more like new version of mr x to me lol d,1
he is way scarier than mr x,1
a neutered liability compared to mr x from re2 he shows,1
i d prefer nemesis over mr x any day,1
after seen mr x in re2 it was,1
to the actual gameplay where mr x in re2 remake forced,1
feels very linear compared to mr x in re2r and its,1
huge threat he s basically mr x on steroids although i,1
how it would compare to mr x from re2 remake and,1
as much as i hated mr x but in the end,1
more annoying than scary unlike mr x he shows up too,1
chaser type enemy compared to mr x in re2 his appearances,1
kinda scripted compared to how mr x could walk around freely,1
really the second coming of mr x and his final fight,1
mesma tensão que os do mr x e a frase s,1
scripted and honestly i prefer mr x over him his design,1
a much better pursuer than mr x and creates a greater,1
in the original or like mr x in resident evil 2,1
how aggressive he is unlike mr x who slowly stalks you,1
of 2 s remake was mr x and his slow stalking,1
same level of threat as mr x most encounters are heavily,1
short compared to re2r s mr x a huge chunk of,1
original version and probably also mr x there are also some,1
he was used more like mr x in re2 the game,1
the booming unscripted footsteps of mr x hunting you down created,1
whereas in resident evil 2 mr x was an almost organic,1
it nemesis was better than mr x in an action way,1
think an enemy would dethrone mr x for me but holy,1
annoying nemesis are faster then mr x but it not unbeatable,1
making him less threatening than mr x in resident evil 2,1
and exactly how they react mr x re2 re2r is incredibly,1
s right up there with mr x when it comes to,1
"to fear footsteps   mr x politely follows you through",1
an example like re2 remake mr x especially in the r,1
and feels more oppressive than mr x with how aggressive and,1
is way more scarier than mr x although i realized the,1
after what they did with mr x in the previous game,1
the terrifying stalker mechanics of mr x in re2 remake the,1
was a downgrade compared to mr x and there aren t,1
like this game is the mr x section of re2 stretched,1
admit nemesis is clunkier than mr x when it comes to,1
the zombies and hide from mr x in re3 remake the,1
nemesis is more annoying than mr x and is significantly less,1
is annoying as ♥♥♥♥ predictable mr x was better ngl and,1
a bull from behind where mr x tyrant of remake 2,1
re 2 and turns out mr x was sweet as pie,1
favorite pursier type is still mr x my favorite boss battles,1
re2 perfected such tension with mr x but fails to keep,1
although not as invasive as mr x in re2,1
just cooked him fr but mr x is still scarier though,1
seeing what capcom did with mr x in re2r expectations for,1
potential to be scarier than mr x but he doesnt chase,1
be a stalker enemy like mr x that s it this,1
a scary looking dude but mr x is still the king,1
to escape like an octopus mr x on steroids all in,1
"when i compare him to mr x from re2  ",1
up if he was like mr x in re2 that would,1
constant pressure and fear that mr x created in resident evil,1
a very different beast from mr x where mr x was,1
made me feel fear unlike mr x that makes you stressed,1
great moments but compared to mr x from re2 he felt,1
compared to the likes of mr x for me plus it,1
compared to his stalker predecessor mr x this brings me to,1
makes me wanna kms makes mr x seem sweet as candy,1
what if we made mr x but with a long,1
william birkin s mutations and mr x it makes no sense,1
still inventing new slurs for mr x but nemesis chase felt,1
7 im looking at you mr x,1
run forward dodge shoot done mr x had me rerouting my,1
like they were capitalising on mr x s pursuit mechanics in,1
have enjoyed it blud aint mr x 🥀,1
take an example re2r spoiler mr x spoiler ai he is,1
more in control than against mr x gon give it to,1
terrifying if he played like mr x but thats in a,1
a constant source of fear mr x in re2 created a,1
only in scripted scene unlike mr x in re2 remake is,1
constant overwhelming threat but like mr x he mostly ends up,1
supposed to scary like how mr x was and due to,1
wouldn t stay dead still mr x from the previous game,1
duck and less intimidating than mr x in resident evil 2,1
to replay stuff like kiting mr x around the sewer section,1
a watered down version of mr x and i like nemesis,1
10 10 i like how mr x was just a creepy,1
but nemesis is scarier than mr x as a stalker,1
the game with pistols since mr x made exploring tedious and,1
natural like being chased by mr x from re2 throughout the,1
"playing whole time and btw mr x is much scarier than",1
not intimidating and scary like mr x was he s just,1
more in lore powerful than mr x but his encounters are,1
same impact on me as mr x when the latter had,1
a far worse design then mr x because he only appears,1
the previous game in re2r mr x is slow but absolutely,1
still not as scary as mr x,1
be fine ” honestly even mr x feels scarier than nemesis,1
and was scared ♥♥♥♥♥♥♥♥ when mr x appeared asked to get,1
degree not only does nemesis mr box art himself is the,1
threat that made him and mr x so memorable the few,1
no me lo imagino como mr x en el re2 si,1
"m using healing items  mr x aka nemesis isn t",1
bcs he is faster than mr x on re2 the only,1
a scripted stalker enemy unlike mr x in re2 where he,1
nemesis is annoying version of mr x tho,1
that to my fun with mr x in re2 and this,1
nemesis seeing as in re2 mr x was a great fear,1
a letdown because of how mr x follows you through the,1
threat similar to that of mr x but nothing similar is,1
annoying and stressful compared to mr x i think a full,1
stalk you in the way mr x does from re2 he,1
10 of the quality that mr x did in re2 remake,1
s basically just bargain bin mr x the constant chase sequences,1
is a great alternative to mr x in the way he,1
mr x is nowhere near as,1
feels way more threatening than mr x does i know i,1
near as a threat as mr x from re2 was nemesis,1
if he was more like mr x where he was pursuing,1
isn t in the game mr x s cousin nemesis stalks,1
are very very different from mr x if re 3 is,1
scripted segments whereas the tyrant mr x in re2 had the,1
this game takes everything about mr x and makes it 20x,1
nemesis with one ♥♥♥♥♥♥♥ granade mr x was scarier than nemesis,1
so easy then i met mr sis neme sis,1
just plain annoying same as mr x from re2 fights being,1
full sequel and also unlike mr x in re2 who stalked,1
not near as good as mr x is in 2r the,1
layed it out perfectly with mr x s ai in re2r,1
that nemesis or mister x mr x is very boring character,1
from the start unlike how mr x you have a big,1
nowhere near as intense as mr x the game is also,1
the re2 remake s tyrant mr x,1
should especially compared to how mr x was handled the main,1
tamamen rezalet nemesis direkt çöp mr x reskin yapıp koymuşlar 3,1
nerve racking horrors and slow mr x doesn t boost your,1
a cutscene instead like with mr x where he looked for,1
full price compared to re2 mr x nemesis is a little,1
i mr pung yung coming at you,1
an actual stalker enemy like mr x in re2r and not,1
it too short yes is mr x scarier than nemesis yeah,1
old one and even to mr x from the re2 remake,1
time you see him unlike mr x who s always roaming,1
scripted appareances and compared to mr x from 2 it is,1
sections and boss battles unlike mr x in re2 in the,1
more annoying enemies a worse mr x in the form of,1
hatred for you double check mr x walks so nemesis can,1
was as scary as having mr x following me through the,1
is literally reduced to what mr x was in the original,1
lucky leon is to safe mr x throughout re3 nemisis relentless,1
force of nature that makes mr x look like a warm,1
dare i say nemesis himself mr x is a far more,1
nemesis scary and intense then mr x i m also glad,1
nemesis was disappointing after the mr x gameplay from re2r but,1
more expensive and flanderized reimagining mr x lent itself as a,1
and he had significantly more mr x action re3 is much,1
this over remake2 mainly nemesis mr x personally fun boss fights,1
highlight feels underwhelming compared to mr x from the resident evil,1
but nemesis is easier than mr x at least we can,1
the nemesis is a crazier mr x the game is very,1
much less effective stalker than mr x was mr x was,1
"not because of those moments mr imaginary guy  why is",1
puzzles to some extent imagine mr nemesis chasing you around a,1
like carlos while i prefer mr x nemesis as a this,1
is a blast the new mr x well,1
nemesis is honestly a worse mr x from re2 remake as,1
♥♥♥♥ nemesis slightly less than mr x,1
chopped off and fed to mr x,1
a constant dynamic threat like mr x was made to be,1
s somehow less intimidating than mr x in the previous game,1
ammo happier me no more mr x but big squidward man,1
t hunt you around like mr x does in re2 capcom,1
jill deserved a better game mr x nemesis,1
and know how terrifying the mr x sections were in re2,1
nemesis is scripted so unlike mr x in re2r nemesis won,1
"le falta mas presencia como mr x en el 2 ",1
a major step down from mr x in terms of gameplay,1
nasty boss nemeis is not mr x from re2 who is,1
itself is pretty peak tho mr x is still a better,1
puzzles enemies nemisis nothing like mr x etc this doesnt count,1
he mutates he s what mr x should have been in,1
same dynamic unpredictable energy that mr x had i ve heard,1
re constantly being followed by mr x,1
eh in comparison to re2 mr x that one was awesome,1
from those scared off by mr x 7 5 hours was,1
wasn t as scary as mr x,1
interactions are scripted instead of mr x s mechanics of stalking,1
nemesis is worse than mr x,1
have the scary vibes that mr x from re2 did,1
blowing away pesky zombies did mr x gives you the creeps,1
other abilities in comparison to mr x bossfights are great apart,1
on par with annoyingness as mr x in re2 nemesis is,1
arguably even more threatening than mr x however his constant aggressive,1
rather than acting more like mr x who instead has to,1
wish he was scarier then mr x though i hope they,1
much the same way that mr x did in 2 although,1
bag for the game unlike mr x who is continuously on,1
just a worse version of mr x absolutely loved re2 but,1
things no dreadly enemy like mr x of course there is,1
the stalker tryant ai like mr x s ai in 2,1
feels even more threatening than mr x from re2 due to,1
"as present or menacing as mr x  mr x creates",1
make him somewhat different from mr x when what they should,1
kovalıyor orijinal oyunda bizi sürekli mr x gibi takip eder ve,1
feels capable and relentless while mr x lets you walk away,1
big let down compared to mr x in re2r nemesis was,1
as looming and nerving as mr x the game is also,1
the second game nemesis vs mr x sure nemesis shows up,1
feels less oppressive compared to mr x in re2 i d,1
great though and nemesis lul mr x in re2 remake posed,1
on multiple occasions compared to mr x other than a couple,1
nowhere near as annoying as mr x i hate those frogs,1
more of a threat than mr x he runs ♥♥♥♥♥♥♥ fast,1
than an unstoppable force like mr x,1
been a stalker enemy like mr x other than that i,1
a souped up version of mr x a monster who stalks,1
than a persistent threat unlike mr x in re2 remake nemesis,1
through i expected another slow mr x type of enemy but,1
too biological too human ironically mr x in re2 remake feels,1
actually stalks you less than mr x in the previous game,1
scary and as intense as mr x this is why the,1
was a lot scarier than mr x because he doesn t,1
was much more imposing than mr x and the boss fights,1
off of the heels of mr x the code is there,1
he is nothing compared to mr x in re2r a year,1
be the ultimate upgrade to mr x in reality he becomes,1
nailed the persistent threat with mr x i expected the same,1
brought something similar back with mr x chasing you and he,1
is surely an upgrade of mr x faster scarier deadlier he,1
for example while re2 has mr x this one has nemesis,1
is purely an action game mr x s presence relies more,1
longer distinct from his counterpart mr x they move similarly they,1
so much more annoying than mr x the combat and doge,1
is a joke compared to mr x from the last remake,1
back and forth with spoiler mr x spoiler in re2 but,1
less scripted and more like mr x from re2r as a,1
always chasing you down like mr x from re2 remake did,1
but not as good as mr x especially when it comes,1
they used nemesis to further mr x who was way less,1
outside those encounters nothing like mr x in re2 b too,1
is pretty cool but overall mr x from re2 remake ends,1
where near as good as mr x and his boss fights,1
presence and more pressure than mr x turning every pursuit into,1
is better yes it has mr x but the gameplay nuances,1
rocks top of the line mr worldwide ws all around don,1
on in re2r you get mr x thrown at you and,1
felt like a reskinned tyrant mr x who lacked the pure,1
after the positive reception of mr x a smarter more dangerous,1
station during the sequence with mr x and the train the,1
"just outdone by his predecessor mr x this game feels like",1
more scary and dangerous than mr x who didnt kill me,1
here s your linear route mr player please enjoy your conveniently,1
made much less waves than mr x with him ironically being,1
waiting for a zombie or mr x to jump out at,1
"so much less threatening than mr x my goat  ",1
never short of and while mr x was all random in,1
if you felt underwhelmed by mr x s boss fight in,1
wasted opportunity too because unlike mr x from re2 with his,1
version from the original re3 mr x was more like nemesis,1
constant pressure and fear that mr x did in resident evil,1
have had a more refined mr x esque approach when it,1
he s less scary than mr x in re2 it s,1
does not feel very threatening mr x from 2 felt more,1
100 annoying rather than scary mr x for example actually scared,1
we compare it to besetting mr x from re2 remake i,1
versus kind of annoying like mr x was in re2,1
joke compared to how good mr x is in re2r,1
is not as good as mr x but his presence is,1
off terrifying way scarier than mr x but after his mutations,1
nemesis made me yearn for mr x,1
not only did they give mr x nemesis s amazing pursuer,1
nemesis was scripted in re2make mr x has scripted moments but,1
not as scary compared to mr x from the resident evil,1
