context,count
nemesis,25
♥♥♥♥ nemesis,6
i hate nemesis,5
nemesis down,4
nemesis scary,4
nemesis is scary,3
♥♥♥♥ you nemesis,3
absolutely terrible remake of re3 nemesis in short the game lacks,3
are cut from the game nemesis don t kill brad and,3
nemesis has aura,2
the original resident evil 3 nemesis i had a good time,2
nemesis my beloved,2
app 4249120 resident evil 3 nemesis 1999,2
fight against umbrella s bioweapon nemesis all while trying to escape,2
set for survival horror remakes nemesis encounters are almost fully scripted,2
maybe add a few more nemesis encounters on top of it,2
nemesis is a ♥♥♥♥♥,2
f ck you nemesis,2
spooky scary nemesis,2
resident evil 3 nemesis is a survival horror game,2
nemesis made me ♥♥♥♥ my pants,2
a downgrade from re2 remake nemesis barely puts in any appearances,2
lot shorter our main antagonist nemesis was a constant threat in,2
nemesis good,2
nemesis is a pain in the,2
nemesis is annoying,2
little more of racoon city nemesis unlike the tyrant from 2,2
the original resident evil 3 nemesis,2
a cool shrek mod for nemesis,2
brad hearing him warn about nemesis coming for us as he,2
s tyrant this game s nemesis is not dynamic he shows,2
nemesis op,2
nemesis go brrrr,2
but the sheer terror of nemesis and the return to form,2
nemesis is gay,2
nemesis do be kinda spooky doe,2
again i hate stage 3 nemesis worst re ever,1
nemesis coño de madre chavista jill,1
resident evil 3 nemesis was the first resident evil,1
part was amazing and the nemesis rooftop fight 10 10 nemesis,1
one tbh five hours of nemesis chasing jill nonstop,1
outbreak from mr x to nemesis the pressure is on this,1
missing content from the original nemesis but honestly might be a,1
having a hug session with nemesis i d recommend this as,1
nemesis can shove it and the,1
operation raccoon city re 3 nemesis outbreak files so the timeline,1
becomes a linear hall the nemesis escape sequences do too so,1
nemesis makes me scared,1
it s a good time nemesis is a fun antagonist and,1
did so naturally they send nemesis after her and nemesis ohhh,1
bad bio weapon here is nemesis an absolute diabolical looking monster,1
control while running away from nemesis will have your heart racing,1
decent game i think the nemesis boss fights are very fun,1
of the encounters while the nemesis portions feel super jank both,1
it jill s words for nemesis pretty much describe what playing,1
but with a dodge mechanic nemesis was not scary at all,1
like then game but the nemesis just get so annoying after,1
more unscripted encounters with the nemesis,1
nemesis is so chill,1
♥♥♥♥ u nemesis,1
due to the existence of nemesis but being able to highlight,1
nemesis can t even swim,1
still action and of course nemesis this guy really does not,1
first playthrough was honestly awesome nemesis was genuinely scary and his,1
"me wanting more   nemesis was a great addition but",1
i finally get it nemesis clearly has an anger management,1
and strength carry the game nemesis keeps the pressure high while,1
stale characters and they turned nemesis from being actually threatening into,1
has a great atmosphere and nemesis is simply nemesis the only,1
so well first of all nemesis was underutelised like my favourite,1
a big black guy named nemesis buy this game,1
nemesis the goat,1
short and especially all the nemesis fights but i defenetily hated,1
of the game is just nemesis aura farming,1
better the game is short nemesis is shonen animu protag as,1
game is so short that nemesis spends more time introducing himself,1
i definitely recommend buying it nemesis was done really well in,1
soul and energy while dodging nemesis 8 times in a row,1
most of all they made nemesis very scripted on 60 70,1
on stuff from re2 and nemesis is a great villain even,1
factory — are just gone nemesis the game s supposedly terrifying,1
the time to do it nemesis the map and the story,1
of parts that feels repetitive nemesis feels like the only major,1
faltan un monton de cosas nemesis deberia ser mas molesto y,1
had was the bullet sponge nemesis who can hit you from,1
it is however stage 4 nemesis on nightmare or inferno difficulty,1
game gets attacked by the nemesis of this game called nemesis,1
i d prefer nemesis over mr x any day,1
packed storyline is decent and nemesis is a great antagonist which,1
game because zombies is faster nemesis to stronger than resident evil,1
trivalise some parts and made nemesis less threatining than the game,1
of the encounters with the nemesis are scripted and feel more,1
as in the original game nemesis is very much neutered and,1
a fun game unfortunately the nemesis is much worse than the,1
i like the fact that nemesis has only one voice line,1
disappointment to see that all nemesis segments are scripted having such,1
doesn t do justice to nemesis like how scary he was,1
i legit melted nemesis and he still came back,1
evil 2 i deeply enjoyed nemesis and how comitted it is,1
firstly the sheer number of nemesis fights that we had to,1
looks good did they ruin nemesis and jill yes is the,1
"gameplay 2 10 nemesis 10 10",1
not having that fear of nemesis showing up at any time,1
to take a hint pros nemesis has incredible cardio dodging feels,1
content many things changed around nemesis is a joke i could,1
always hunting star s killer nemesis,1
capable than them the negatives nemesis has been skinned and is,1
is literally no reason for nemesis to be acting like spiderman,1
difficulty be extra careful during nemesis s three hit combo in,1
overly linear design furthermore while nemesis looks awesome he adds very,1
for example gravedigger boss and nemesis only appears when its scripted,1
i like playing re3 nemesis and carlos made it super,1
i am enjoing very much nemesis is very stress full 9,1
nemesis my goat,1
nemesis the only boss in my,1
and story was decent but nemesis was more a set piece,1
t played the original re3 nemesis so coming into this fresh,1
even though nemesis feels very linear compared to,1
of content from the original nemesis only stalks you in the,1
for the zombies stayed because nemesis wouldn t let me leave,1
"new fear unlocked  nemesis",1
gave me stockholm syndrome for nemesis from end fight screw that,1
old players was the old nemesis as he was more active,1
"and saves ♥♥♥♥  spoiler nemesis spoiler jill is the ♥♥♥♥♥♥♥",1
"for a while   nemesis is an absolute monster the",1
i was excited to battle nemesis and see how it would,1
a re game should provide nemesis who should be the core,1
"and less survival oriented  nemesis feels underutilized due to heavily",1
intense combat and nonstop tension nemesis creates unforgettable moments and jill,1
so good and the was nemesis chase us gives me chill,1
enemy that is unrelenting this nemesis of yours is well executed,1
too scared to finish it nemesis was a nightmare i then,1
still had fun 8 10 nemesis is scary of scary,1
am old but dear god nemesis is so annoying and i,1
digger not to mention that nemesis has only scripted events and,1
hellish it was to fight nemesis he would not ♥♥♥♥♥♥♥ die,1
nothing much nemesis is more annoying than scary,1
bad linear corridors with scripted nemesis encounters rpd is still good,1
stunning and jill was awesome nemesis was terrifying especially when that,1
this game is the goat nemesis that being said despite him,1
gimmicks they go on with nemesis towards the end,1
boss battles are missing and nemesis is no longer a nemesis,1
a span of 3 hours nemesis was treated like an entire,1
great atmosphere and character building nemesis is such a well designed,1
feels way shorter than re2 nemesis is barely a threat and,1
com a perseguição constante do nemesis cada combate se torna uma,1
hours really fast pace and nemesis was terrifying very much scripted,1
is great and jill and nemesis make the experience memorable it,1
it is disappointing to see nemesis i mentioned before that there,1
to head encounters with the nemesis about a half dozen times,1
best addition to the game nemesis is a much better pursuer,1
the redesigned creatures look fantastic nemesis is still a great antagonist,1
i had with it the nemesis scared me many times through,1
entretenida de principio a fin nemesis aunque no tiene el mismo,1
game original resident evil 3 nemesis is a masterpiece so even,1
looked very alive and ohh nemesis looked scary i ll surely,1
entire time back tracking yeah nemesis was annoying but he wasn,1
masterpeice the graphics are incredible nemesis s new design is way,1
is terrible getting chased by nemesis is not fun and not,1
i cant really compare but nemesis while having a very fearful,1
one hell of a ride nemesis literally became my actual nemesis,1
nice mechanic i wish the nemesis sections were less scripted in,1
or lol being chased by nemesis was terrifying because of how,1
the chase sequences between nemesis and jill became repetitive but,1
fsr implementation does look good nemesis is just annoying sometimes but,1
evil games this so called nemesis is a joke and jill,1
thing about this remake was nemesis many fans of the og,1
good re fun but scripted nemesis moments and missing content make,1
was so ♥♥♥♥♥♥♥♥ scared from nemesis but the is fun is,1
i found that the spoiler nemesis was not an enjoyable enemy,1
managed to get all the nemesis drop and gun upgrade in,1
♥♥♥♥ that nemesis guy why he so fast,1
nemesis will return in avengers doomsday,1
evil 2 remake so memorable nemesis — nemesis looks intimidating and,1
also traumatized by the window nemesis crash i hate you capcom,1
very grotesque and very detailed nemesis was originally my least favorite,1
original 0 horror pretty easy nemesis is a meme in remake,1
