context,count
blind date then there s nicholai who basically tackles a zombie,1
next part impatiently also spoiler nicholai is amazingly written and makes,1
unpopular opinion but i liked nicholai a lot in this game,1
are a stand out besides nicholai but since its neil newbon,1
"it glitch out   nicholai also just sucks like i",1
the past voice of the nicholai is abysmal abysmal looking nemesis,1
mikhail tyrell and maybe even nicholai if there was any re,1
subway took out some fire nicholai killed some rando get out,1
♥♥♥♥ nicholai otherwise very good game d,1
nicholai best antagonist in re,1
game in my opinion is nicholai even though he s not,1
just annoying rather than intimidating nicholai feels so randomly out of,1
count your days nicholai zinoviev,1
the biggest downgrade easily was nicholai face value yeah he is,1
her secure the vaccine and nicholai while still evil has a,1
to save everyone he can nicholai is even more of a,1
thats about it game over nicholai dies in a cutscene jill,1
fking nicholai all kidding aside re3 is,1
to be worthwhile and fun nicholai and tyrell are extremely underrated,1
retained the hideous transliteration of nicholai and mikhail victor still being,1
is not explored at all nicholai is just an random dude,1
nicholai is the best villain ever,1
to stop only for spoiler nicholai to ♥♥♥♥ you over again,1
to aid him right before nicholai shoots him dead or how,1
small zombies flanking around you nicholai shoot vaccine rage bait writing,1
nicholai kinda looks like jeffrey epstein,1
remake tried to offer cons nicholai was a lame ass villain,1
handed ammo for his guns nicholai felt like a shallow villain,1
look at jill s or nicholai s in game model the,1
as jill no pathing for nicholai s ending to either have,1
things re is known for nicholai was a pretty boring villain,1
the way he pieces up nicholai at the end to clutch,1
game lebron jame i hate nicholai my ranking so far 1,1
finesse or charm brad mikhail nicholai are unfortunately insignificant and forgettable,1
secondary characters like tyrell and nicholai also got solid updates i,1
s schemes—is functional but unremarkable nicholai the primary antagonist is cartoonishly,1
there are jill carlos mikhail nicholai and of course nemesis it,1
on zombies nemesis is basically nicholai s pet and not the,1
think of a sergeant whereas nicholai feels like a very self,1
dumb broad could have killed nicholai on the spot specially after,1
that s for sure but nicholai was a really weak villain,1
he did in the original nicholai is hardly seen in re3r,1
written with the exception of nicholai one of the most bland,1
hero moments expand that more nicholai scheming tyrell s sad fate,1
like the story at all nicholai as a foe is ridiculous,1
spoiler aí o nicholai é um dos piores vilões,1
however ♥♥♥♥ nemesis and ♥♥♥♥ nicholai,1
nicholai bad guy,1
casts arcs spoiler also ♥♥♥♥ nicholai the evil greedy bastard love,1
mediocre towards the end also nicholai sucks,1
you ll regroup with carlos nicholai and others and nemesis will,1
on hard but still spoiler nicholai s character is terrible you,1
challenging 3 the antagonist character nicholai ginovaef is highlighted more in,1
bir şekilde çıkarılmış bu arada nicholai serinin en büyük 0r0spu çocuğu,1
are mostly jill carlos and nicholai spoiler one of the most,1
play as michail carlos and nicholai this game is a disappointment,1
wish i could ve watched nicholai get fawked over in the,1
wise which i find annoying nicholai pros carlos i wanted to,1
mods so u can see nicholai s car baro,1
in the umbrella corp and nicholai are both comedically evil which,1
bothers me is that dude nicholai with his line you can,1
game but some guy names nicholai so capcom could scream in,1
these points much better without nicholai being such a blatant villain,1
a fan of characters like nicholai and mikhail both the russian,1
looks amazeing story update makes nicholai as a clear antagonist cons,1
badass for her own good nicholai is a very good villian,1
expensive for a short game nicholai is a very weak villain,1
don t do anything stupid nicholai is a wondertful scun of,1
love what they did with nicholai he was always a conniving,1
if you don t shoot nicholai in time carlos could die,1
more believable even neil newbon nicholai sounded like a convincing bad,1
voices are sometimes hushed and nicholai s voice actor is pretty,1
of jill carlos and even nicholai they are all done very,1
game has jill nemesis tyrone nicholai victor and more varied enemies,1
because jill doesn t peg nicholai,1
mission involving tyrell and or nicholai but it seems they have,1
voice actors are fine while nicholai for example is super super,1
than those in remake 2 nicholai and tyrell are standouts jill,1
t actually believe they killed nicholai trash game way to go,1
the gravedigger inability to kill nicholai even if you shot him,1
in the original and that nicholai was more interesting as well,1
is a hot grill fu nicholai,1
compared to the previous instalment nicholai being a really one dimensional,1
more monstrous and huge and nicholai a russian umbrella employee who,1
sections are very well done nicholai and carlos are cool characters,1
encounter points the encounter with nicholai in the cabin or the,1
was still somehow linked with nicholai as in the original and,1
grave digger and the optional nicholai helicopter boss fights neither were,1
vibe that the original had nicholai s portrayal is quite good,1
dip for it b 3 nicholai b spoiler old nicholai wasn,1
experienced in my life whilst nicholai the other antagonist is the,1
the other resident evil titles nicholai is a true wealth driven,1
likeable strong and interesting characters nicholai is boring as hell and,1
more streets from raccoon city nicholai s character arc was predictable,1
the mercenaries with mikhail and nicholai playable,1
as re2 but carlos and nicholai look hot as hell,1
escenes the only fight against nicholai your main antagonist along nemesis,1
redesign in the remake 3 nicholai is an awesome villain 4,1
and characters are great even nicholai is nice the documents file,1
around killing ♥♥♥♥ as carlos nicholai and mikhail the rewards from,1
longer killed by nemesis and nicholai is no longer the somewhat,1
the characters ie they gave nicholai some character motivations instead of,1
a lot more likable even nicholai whom you love to hate,1
mikhail in this game 7 nicholai i just have to put,1
and potential helicopter fight with nicholai are gone as well worst,1
the new jill carlos and nicholai because they got deeper and,1
like an alternate story where nicholai starts after they leave him,1
a bad thing just different nicholai genovaef is well done as,1
but that was it also nicholai i won t make any,1
pretty much turns into anti nicholai positioning claire felt like having,1
funny too supporting characters brad nicholai mikhail tyrell are all really,1
pays attention to these reviews nicholai s poor cliche motives makes,1
by nemesis in remake not nicholai spoiler spoiler in the original,1
sold as a separate game nicholai ♥♥♥♥ that guy,1
time main characters jill carlos nicholai get a good treatment and,1
cutscene to get shot by nicholai in the original especially the,1
jill valentine carlos oliveira and nicholai ginovaef are awesome here especially,1
situation with the exception of nicholai which was the only character,1
word in the english language nicholai was turned into a cartoon,1
consistency the story sucks and nicholai is only a villain because,1
forced including carlos as well nicholai s motives are much murkier,1
carlos is overly horny and nicholai is overly villainous the gameplay,1
just like in the original nicholai s character is garbage and,1
what the hell happened to nicholai his attitude reminded me of,1
which is a good thing nicholai is still conniving but is,1
to show the humanity between nicholai and jill and they just,1
do want to highlight jill nicholai and carlos s voice actors,1
to the game series story nicholai for example it s like,1
mini carlos story maybe brad nicholai mikhail or marvin or all,1
the story however spoiler killing nicholai or leaving him to die,1
game and same with carlos nicholai at his best in this,1
improvement more content mikhail or nicholai mission story with the unused,1
