context,count
racoon city nemesis unlike the tyrant from 2 doesn t have,2
replayability either unlike re2 s tyrant this game s nemesis is,2
battles the feeling of a tyrant mr x or mr x,2
felt very similar to the tyrant from re2—one main enemy chasing,1
presence of nemesis this games tyrant exploration has become a lot,1
that arent scripted make the tyrant from re2 look and feel,1
stalked by a 10 foot tyrant and are worried about every,1
far even more annoying than tyrant the game is also much,1
nemesis is much scarier than tyrant from resident evil 2 remake,1
f ckface ” on the tyrant because it s out of,1
" nemesis is the new tyrant literally but he s exaggerated",1
a modified version of the tyrant it s no longer a,1
for gameplay running from the tyrant and having to fight it,1
from behind where mr x tyrant of remake 2 was far,1
no knife durability an enhanced tyrant as well as the levels,1
is less creepy than the tyrant in re2 by far mostly,1
mostly in scripted scenes the tyrant from the last remake was,1
is amazing literally the best tyrant,1
and have fun without a tyrant on my ahh 24 7,1
always being there like the tyrant in re2 was disappointing spoiler,1
come to discover are called tyrants very cool whatever those spider,1
monster and not a fxcking tyrant in short only buy this,1
he s a lot scarier tyrant than mr x could have,1
coward he talks like the tyrant just a nuisance speaking of,1
don t care you are tyrant or t rex just eat,1
said million times over the tyrant in the re2 remake feels,1
he s the most intelligent tyrant in canon the amount of,1
nemesis who is also a tyrant variant that was so much,1
during scripted segments whereas the tyrant mr x in re2 had,1
500 1000 lb parasite filled tyrant bull rushing you down from,1
not a fun game the tyrant in this game is annoying,1
to the re2 remake s tyrant mr x,1
nemesis is the coolest tyrant of all time,1
in the same manner the tyrant from re2r atleast it would,1
this game he s a tyrant sent by umbrella to kill,1
in a way the re2 tyrant never did less dread more,1
a fast and menacing looking tyrant but he s easy to,1
in re2 he goes from tyrant type to like a massive,1
t as cool as the tyrant from the re2 remake the,1
being targeted by nemesis a tyrant with a g embryo infused,1
really surprising who thought a tyrant could use weapons i loved,1
s story and characters also tyrant on steroids goes hard as,1
badass and seeing the failed tyrants in the lab was huge,1
are where both the nemesis tyrant and birkin met their fates,1
"nemesis is the single greatest tyrant of all time  in",1
is more dangerous than every tyrant so far,1
feels like a threat unlike tyrant and the game plays wonderfully,1
you being pursued by a tyrant that you keep killing over,1
find it weird that the tyrant from re2 felt way more,1
unpredictable unlike re 2 s tyrant which reacts dynamically to your,1
a stalker vibe like the tyrant did in re2r and i,1
nemesis felt like a reskinned tyrant mr x who lacked the,1
